,,class5,,,class4,,,class3,,,class2,,,class1,,
freq_low,freq_high,peak,qpeak,avg,peak,qpeak,avg,peak,qpeak,avg,peak,qpeak,avg,peak,qpeak,avg
0.15,0.3,50,37,30,60,47,40,70,57,50,80,67,60,90,77,70
0.53,1.8,26,13,6,34,21,14,42,29,22,50,37,30,58,45,38
5.9,6.2,19,6,-1,25,12,5,31,18,11,37,24,17,43,30,23
76,108,4,-9,-16,10,-3,-10,16,3,-4,22,9,2,28,15,8
41,88,0,-,-10,6,-,-4,12,-,2,18,-,8,24,-,14
171,245,4,-,-6,10,-,0,16,-,6,22,-,12,28,-,18
174,230,4,-,-6,10,-,0,16,-,6,22,-,12,28,-,18
26,28,10,-3,-10,16,3,-4,22,9,2,28,15,8,34,21,14
30,54,10,-3,-10,16,3,-4,22,9,2,28,15,8,34,21,14
68,87,4,-9,-16,10,-3,-10,16,3,-4,22,9,2,28,15,8
142,175,4,-9,-16,10,-3,-10,16,3,-4,22,9,2,28,15,8
