,,class5,,,class4,,,class3,,,class2,,,class1,,
freq_low,freq_high,peak,qpeak,avg,peak,qpeak,avg,peak,qpeak,avg,peak,qpeak,avg,peak,qpeak,avg
0.15,0.3,46,33,26,56,43,36,66,53,46,76,63,56,86,73,66
0.53,1.8,40,27,20,48,35,28,56,43,36,64,51,44,72,59,52
5.9,6.2,40,27,20,46,33,26,52,39,32,58,45,38,64,51,44
76,108,38,25,18,44,31,24,50,37,30,56,43,36,62,49,42
41,88,28,-,18,34,-,24,40,-,30,46,-,36,52,-,42
174,230,20,-,10,26,-,16,32,-,22,38,-,28,44,-,34
470,944,41,-,31,47,-,37,53,-,43,59,-,49,65,-,55
171,245,30,-,20,36,-,26,42,-,32,48,-,38,54,-,44
174,230,30,-,20,36,-,26,42,-,32,48,-,38,54,-,44
470,770,46,-,36,52,-,42,58,-,48,64,-,54,70,-,60
1447,1494,54,-,44,60,-,50,66,-,56,72,-,62,78,-,68
2320,2345,58,-,48,64,-,54,70,-,60,76,-,66,82,-,72
26,28,40,27,20,46,33,26,52,39,32,58,45,38,64,51,44
30,54,40,27,20,46,33,26,52,39,32,58,45,38,64,51,44
68,87,35,22,15,41,28,21,47,34,27,53,40,33,59,46,39
142,175,35,22,15,41,28,21,47,34,27,53,40,33,59,46,39
380,512,38,25,18,44,31,24,50,37,30,56,43,36,62,49,42
300,330,32,-,18,38,-,24,44,-,30,50,-,36,56,-,42
420,450,32,-,18,38,-,24,44,-,30,50,-,36,56,-,42
820,960,44,31,24,50,37,30,56,43,36,62,49,42,68,55,48
1156.45,1196.45,-,-,20,-,-,26,-,-,32,-,-,38,-,-,44
1553.098,1569.098,-,-,5.5,-,-,11.5,-,-,17.5,-,-,23.5,-,-,29.5
1567.42,1583.42,-,-,10,-,-,16,-,-,22,-,-,28,-,-,34
1590.781,1616.594,-,-,10,-,-,16,-,-,22,-,-,28,-,-,34
2402,2494,52,-,32,58,-,38,64,-,44,70,-,50,76,-,56
5150,5350,59,-,39,65,-,45,71,-,51,77,-,57,83,-,63
5470,5725,59,-,39,65,-,45,71,-,51,77,-,57,83,-,63
5850,5925,84,-,64,90,-,70,96,-,76,102,-,82,108,-,88
